,users,values,time
603,10,13.2,14:46:33
604,10,13.8,14:46:38
605,10,13.5,14:46:43
606,10,12.7,14:46:48
607,10,12.4,14:46:53
608,10,12.5,14:46:58
609,10,12.0,14:47:03
610,10,12.2,14:47:08
611,10,13.3,14:47:13
612,10,13.7,14:47:18
613,10,13.2,14:47:23
614,10,13.4,14:47:28
615,10,13.4,14:47:33
616,10,13.0,14:47:38
617,10,13.2,14:47:43
618,10,12.6,14:47:48
619,10,12.1,14:47:53
620,10,13.2,14:47:58
621,10,13.5,14:48:03
622,10,12.8,14:48:08
623,10,12.4,14:48:13
624,10,13.0,14:48:18
625,10,13.6,14:48:23
626,10,14.0,14:48:28
627,10,13.5,14:48:33
628,10,13.3,14:48:38
629,10,12.9,14:48:43
630,10,12.5,14:48:48
631,10,11.7,14:48:53
632,10,11.9,14:48:58
633,10,12.1,14:49:03
634,10,12.9,14:49:08
635,10,13.4,14:49:13
636,10,13.9,14:49:18
637,10,14.9,14:49:23
638,10,14.8,14:49:28
639,10,12.7,14:49:33
640,10,12.5,14:49:38
641,10,13.1,14:49:43
642,10,16.0,14:49:48
643,10,14.6,14:49:53
644,10,13.3,14:49:58
645,10,14.2,14:50:03
646,10,13.3,14:50:08
647,10,12.8,14:50:13
648,10,13.3,14:50:18
649,10,12.2,14:50:23
650,10,11.7,14:50:28
651,10,14.2,14:50:33
652,10,13.8,14:50:38
653,10,12.9,14:50:43
654,10,13.2,14:50:48
655,10,13.2,14:50:53
656,10,12.7,14:50:58
657,10,13.5,14:51:03
658,10,13.7,14:51:08
659,10,12.8,14:51:13
660,10,12.7,14:51:18
661,10,12.0,14:51:23
662,10,12.3,14:51:28
663,10,12.2,14:51:33
664,10,13.4,14:51:38
665,10,13.3,14:51:43
666,10,11.4,14:51:48
667,10,12.9,14:51:53
668,10,13.3,14:51:58
669,10,12.9,14:52:03
670,10,13.4,14:52:08
671,10,12.9,14:52:13
672,10,13.2,14:52:18
673,10,13.9,14:52:23
674,10,14.0,14:52:28
675,10,13.8,14:52:33
676,10,12.3,14:52:38
677,10,12.2,14:52:43
678,10,13.1,14:52:48
679,10,12.2,14:52:53
680,10,12.4,14:52:58
681,10,13.3,14:53:03
682,10,12.3,14:53:08
683,10,12.5,14:53:13
684,10,12.1,14:53:18
685,10,12.0,14:53:23
686,10,12.6,14:53:28
687,10,12.3,14:53:33
688,10,12.4,14:53:38
689,10,12.7,14:53:43
690,10,12.2,14:53:48
691,10,12.6,14:53:53
692,10,13.4,14:53:58
693,10,13.3,14:54:03
694,10,11.9,14:54:08
695,10,11.9,14:54:13
696,10,12.8,14:54:18
697,10,12.7,14:54:23
698,10,12.7,14:54:28
699,10,12.6,14:54:33
700,10,13.1,14:54:38
701,10,14.5,14:54:43
702,10,14.9,14:54:48
703,10,13.6,14:54:53
704,10,13.5,14:54:58
705,10,11.9,14:55:03
706,10,11.8,14:55:08
707,10,12.1,14:55:13
708,10,11.9,14:55:18
709,10,12.8,14:55:23
710,10,13.2,14:55:28
711,10,13.4,14:55:33
712,10,13.4,14:55:38
713,10,13.3,14:55:43
714,10,12.5,14:55:48
715,10,13.3,14:55:53
716,10,13.0,14:55:58
717,10,12.0,14:56:03
718,10,12.3,14:56:08
719,10,12.8,14:56:13
720,10,12.4,14:56:18
721,10,13.1,14:56:23
722,10,12.9,14:56:28
723,10,11.7,14:56:33
724,10,13.0,14:56:38
725,10,13.4,14:56:43
726,10,13.0,14:56:48
727,10,13.4,14:56:53
728,10,13.8,14:56:58
729,10,14.3,14:57:03
730,10,13.2,14:57:08
731,10,13.0,14:57:13
732,10,13.0,14:57:18
733,10,13.1,14:57:23
734,10,12.6,14:57:28
735,10,13.1,14:57:33
736,10,14.1,14:57:38
737,10,14.4,14:57:43
738,10,14.3,14:57:48
739,10,13.8,14:57:53
740,10,13.1,14:57:58
741,10,12.6,14:58:03
742,10,13.4,14:58:08
743,10,14.2,14:58:13
744,10,13.7,14:58:18
745,10,13.0,14:58:23
746,10,13.3,14:58:28
747,10,12.7,14:58:33
748,10,12.7,14:58:38
749,10,12.7,14:58:43
750,10,11.9,14:58:48
751,10,13.1,14:58:53
